"DateKey","GeoKey","Date","NewConfirmed","NewDeceased","CurrentHospitalized","CurrentICU","MobilityWorkplaces","MobilityResidential","Population","NewConfirmedPer100k","DailyFatalityRatio"
"20200608","AR_J_084","6/8/2020 12:00:00 AM","0","0","","","-4","","82641","0",""
"20200526","AR_J_084","5/26/2020 12:00:00 AM","0","0","","","-11","","82641","0",""
"20200527","AR_J_084","5/27/2020 12:00:00 AM","0","0","","","-8","","82641","0",""
"20200528","AR_J_084","5/28/2020 12:00:00 AM","0","0","","","-10","","82641","0",""
"20200529","AR_J_084","5/29/2020 12:00:00 AM","0","0","","","-9","","82641","0",""
"20200531","AR_J_084","5/31/2020 12:00:00 AM","0","0","","","-3","","82641","0",""
"20200602","AR_J_084","6/2/2020 12:00:00 AM","0","0","","","-8","","82641","0",""
"20200519","AR_J_084","5/19/2020 12:00:00 AM","0","0","","","-13","","82641","0",""
"20200520","AR_J_084","5/20/2020 12:00:00 AM","0","0","","","-13","","82641","0",""
"20200521","AR_J_084","5/21/2020 12:00:00 AM","0","0","","","-14","","82641","0",""
"20200522","AR_J_084","5/22/2020 12:00:00 AM","0","0","","","-11","","82641","0",""
"20200524","AR_J_084","5/24/2020 12:00:00 AM","0","0","","","-10","","82641","0",""
"20200525","AR_J_084","5/25/2020 12:00:00 AM","0","0","","","-60","","82641","0",""
"20200512","AR_J_084","5/12/2020 12:00:00 AM","0","0","","","-14","","82641","0",""
"20200513","AR_J_084","5/13/2020 12:00:00 AM","0","0","","","-13","","82641","0",""
"20200515","AR_J_084","5/15/2020 12:00:00 AM","0","0","","","-11","","82641","0",""
"20200516","AR_J_084","5/16/2020 12:00:00 AM","0","0","","","-10","","82641","0",""
"20200517","AR_J_084","5/17/2020 12:00:00 AM","0","0","","","-15","","82641","0",""
"20200518","AR_J_084","5/18/2020 12:00:00 AM","0","0","","","-12","","82641","0",""
"20200504","AR_J_084","5/4/2020 12:00:00 AM","0","0","","","-23","","82641","0",""
"20200506","AR_J_084","5/6/2020 12:00:00 AM","0","0","","","-23","","82641","0",""
"20200507","AR_J_084","5/7/2020 12:00:00 AM","0","0","","","-22","","82641","0",""
"20200509","AR_J_084","5/9/2020 12:00:00 AM","0","0","","","-21","","82641","0",""
"20200510","AR_J_084","5/10/2020 12:00:00 AM","0","0","","","-18","","82641","0",""
"20200511","AR_J_084","5/11/2020 12:00:00 AM","0","0","","","-13","","82641","0",""
"20200428","AR_J_084","4/28/2020 12:00:00 AM","0","0","","","-31","","82641","0",""
"20200429","AR_J_084","4/29/2020 12:00:00 AM","0","0","","","-28","","82641","0",""
"20200430","AR_J_084","4/30/2020 12:00:00 AM","0","0","","","-27","","82641","0",""
"20200501","AR_J_084","5/1/2020 12:00:00 AM","0","0","","","-71","","82641","0",""
"20200502","AR_J_084","5/2/2020 12:00:00 AM","0","0","","","-27","","82641","0",""
"20200503","AR_J_084","5/3/2020 12:00:00 AM","1","0","","","-26","","82641","1.21005312133203","0"
